tenure,MonthlyCharges,TotalCharges,InternetService_Fiber optic,Contract_Two year,PaymentMethod_Electronic check,InternetService_No,tenure_monthly_charges_interaction,total_extra_services,avg_monthly_cost_per_tenure,risk_score,has_security_services,fiber_elec_check_risk,Contract_One year,SeniorCitizen,PaperlessBilling_Yes,OnlineSecurity_Yes,TechSupport_Yes,PhoneService_Yes,MultipleLines_Yes,OnlineBackup_Yes,Dependents_Yes,DeviceProtection_Yes,StreamingTV_Yes,StreamingMovies_Yes,monthly_log,total_log,monthly_sq,family_flag,monthly_charge_per_contract_year,senior_fiber_customer,high_charge_elec_check_risk,Churn
1,29.85,29.85,0,0,1,0,29.85,1,29.849970150029854,29.849970150029854,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3.4291367503513968,3.4291367503513968,891.0225,0,29850000.000000004,0,29.85,0
34,56.95,1889.5,0,0,0,0,1936.3000000000002,2,1.6749999507352957,1.6749999507352957,1,0,1,0,0,1,0,1,0,0,0,1,0,0,4.05958056978576,7.544596623330987,3243.3025000000002,0,56.94994305005696,0,0.0,0
2,53.85,108.15,0,0,0,0,107.7,2,26.92498653750673,26.92498653750673,1,0,0,0,1,1,0,1,0,1,0,0,0,0,4.00460218672124,4.692723082995953,2899.8225,0,53850000.00000001,0,0.0,1
45,42.3,1840.75,0,0,0,0,1903.4999999999998,3,0.9399999791111115,0.9399999791111115,1,0,1,0,0,1,1,0,0,0,0,1,0,0,3.768152635008444,7.518471485562923,1789.2899999999997,0,42.2999577000423,0,0.0,0
2,70.7,151.65,1,0,1,0,141.4,0,35.34998232500884,35.34998232500884,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4.272490747605575,5.028147719180887,4998.490000000001,0,70700000.0,0,70.7,1
8,99.65,820.5,1,0,1,0,797.2,3,12.456248442968947,12.456248442968947,1,1,0,0,1,0,0,1,1,0,0,1,1,1,4.611649152085801,6.711131937477322,9930.122500000001,0,99650000.00000001,0,99.65,1
22,89.1,1949.4,1,0,0,0,1960.1999999999998,2,4.049999815909099,4.049999815909099,0,0,0,0,1,0,0,1,1,1,1,0,1,0,4.500920164614292,7.575789758727007,7938.809999999999,0,89100000.0,0,0.0,0
10,29.75,301.9,0,0,0,0,297.5,1,2.97499970250003,2.97499970250003,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.4258899942525267,5.713402718033191,885.0625,0,29750000.0,0,0.0,0
28,104.8,3046.05,1,0,1,0,2934.4,4,3.742857009183678,3.742857009183678,1,1,0,0,1,0,1,1,1,0,0,1,1,1,4.661550519424199,8.02192918843427,10983.039999999999,0,104800000.0,0,104.8,1
62,56.15,3487.95,0,0,0,0,3481.2999999999997,2,0.9056451466831428,0.9056451466831428,1,0,1,0,0,1,0,1,0,1,1,0,0,0,4.04567939024082,8.15735611033029,3152.8224999999998,0,56.149943850056154,0,0.0,0
13,49.95,587.45,0,0,0,0,649.35,1,3.842307396745585,3.842307396745585,1,0,0,0,1,1,0,1,0,0,1,0,0,0,3.9308447596687337,6.377491961323671,2495.0025000000005,1,49950000.00000001,0,0.0,0
16,18.95,326.8,0,1,0,1,303.2,0,1.184374925976567,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.9932291433358724,5.792403666309729,359.10249999999996,0,9.474995262502368,0,0.0,0
58,100.35,5681.1,1,0,0,0,5820.299999999999,3,1.7301723839625451,1.7301723839625451,1,0,1,0,0,0,0,1,1,0,0,1,1,1,4.6185798728980085,8.645076161696084,10070.1225,0,100.34989965010035,0,0.0,0
49,103.7,5036.3,1,0,0,0,5081.3,4,2.1163264874219085,2.1163264874219085,1,0,0,0,1,0,0,1,1,1,0,1,1,1,4.651099117876491,8.524625503233533,10753.69,0,103700000.00000001,0,0.0,1
25,105.5,2686.05,1,0,1,0,2637.5,5,4.219999831200006,4.219999831200006,1,1,0,0,1,1,1,1,0,0,0,1,1,1,4.66814498514948,7.8961992165555,11130.25,0,105500000.0,0,105.5,0
69,113.25,7895.15,1,1,0,0,7814.25,6,1.641304324039068,0.0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,4.738389029774314,8.974130577893364,12825.5625,1,56.624971687514154,0,0.0,0
52,20.65,1022.95,0,0,0,1,1073.8,0,0.3971153769785504,0.3971153769785504,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.075005454448499,6.931422976282321,426.42249999999996,0,20.64997935002065,0,0.0,0
71,106.7,7382.25,1,1,0,0,7575.7,4,1.5028168802420159,0.0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,4.679349584162343,8.906969200059761,11384.890000000001,0,53.34997332501334,0,0.0,0
10,55.2,528.35,0,0,0,0,552.0,2,5.519999448000056,5.519999448000056,1,0,0,0,0,0,1,1,0,0,1,1,0,0,4.028916756899646,6.271649838789389,3047.0400000000004,1,55200000.00000001,0,0.0,1
21,90.05,1862.9,1,0,1,0,1891.05,3,4.288095033900236,4.288095033900236,1,1,0,0,1,0,0,1,0,1,0,1,0,1,4.511408806173617,7.530426345737758,8109.0025,0,90050000.0,0,90.05,0
1,39.65,39.65,0,0,1,0,39.65,2,39.64996035003965,39.64996035003965,1,0,0,1,1,0,0,0,0,0,0,1,0,1,3.7049988359938197,3.7049988359938197,1572.1225,0,39650000.0,0,39.65,1
12,19.8,202.25,0,0,0,1,237.60000000000002,0,1.6499998625000116,1.6499998625000116,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.0349529867072724,5.31443674842792,392.04,0,19.799980200019803,0,0.0,0
1,20.15,20.15,0,0,0,1,20.15,0,20.14997985002015,20.14997985002015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.051639905492287,3.051639905492287,406.0224999999999,0,20150000.0,0,0.0,1
58,59.9,3505.1,0,1,0,0,3474.2,2,1.0327586028834723,0.0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,4.109233174715851,8.16225958760722,3588.0099999999998,0,29.949985025007486,0,0.0,0
49,59.6,2970.3,0,0,0,0,2920.4,3,1.2163265057892552,1.2163265057892552,1,0,0,0,0,1,1,1,0,1,1,0,0,0,4.104294893075269,7.996754846467187,3552.1600000000003,1,59600000.00000001,0,0.0,0
30,55.3,1530.6,0,0,0,0,1659.0,2,1.8433332718888908,1.8433332718888908,1,0,0,0,1,1,0,1,0,1,0,0,0,0,4.030694535145645,7.3340682196031395,3058.0899999999997,0,55300000.0,0,0.0,0
47,99.35,4749.15,1,0,1,0,4669.45,3,2.113829742258942,2.113829742258942,0,1,0,0,1,0,0,1,1,1,1,0,1,1,4.608664075242347,8.46593147547745,9870.422499999999,1,99350000.0,0,99.35,1
1,30.2,30.2,0,0,1,0,30.2,1,30.199969800030203,30.199969800030203,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3.4404180948154366,3.4404180948154366,912.04,1,30200000.0,0,30.2,1
72,90.25,6369.45,0,1,0,0,6498.0,6,1.2534722048128861,0.0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,4.513602992462601,8.759425389713137,8145.0625,0,45.124977437511276,0,0.0,0
17,64.7,1093.1,0,0,0,0,1099.9,2,3.805882129065757,3.805882129065757,0,0,0,0,1,0,0,1,0,0,1,0,1,1,4.185098925490565,6.9976873864827445,4186.09,0,64700000.00000001,0,0.0,1
71,96.35,6766.95,1,1,0,0,6840.849999999999,4,1.3570422344078559,0.0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,4.578312731818208,8.819953513551914,9283.322499999998,0,48.17497591251204,1,0.0,0
2,95.5,181.65,1,0,0,0,191.0,3,47.74997612501193,47.74997612501193,1,0,0,1,1,0,0,1,0,0,0,1,1,1,4.56954300834494,5.207571753241291,9120.25,0,95500000.0,1,0.0,0
27,66.15,1874.45,0,0,0,0,1786.0500000000002,4,2.4499999092592626,2.4499999092592626,1,0,1,0,0,1,1,1,0,1,1,1,0,0,4.206928922969246,7.536603909609118,4375.822500000001,1,66.14993385006616,0,0.0,0
1,20.2,20.2,0,0,0,1,20.2,0,20.199979800020202,20.199979800020202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.054001181677967,3.054001181677967,408.03999999999996,0,20200000.0,0,0.0,0
1,45.25,45.25,0,0,0,0,45.25,0,45.249954750045255,45.249954750045255,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3.834061463958434,3.834061463958434,2047.5625,0,45250000.0,0,0.0,0
72,99.9,7251.7,1,1,0,0,7192.8,4,1.387499980729167,0.0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,4.6141299273595635,8.88912909231302,9980.010000000002,1,49.949975025012485,0,0.0,0
5,69.7,316.9,1,0,1,0,348.5,0,13.939997212000558,13.939997212000558,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4.258445572902527,5.761736867916757,4858.09,0,69700000.0,0,69.7,1
46,74.8,3548.3,1,0,0,0,3440.7999999999997,1,1.6260869211720235,1.6260869211720235,1,0,0,0,1,0,0,1,0,0,0,1,0,0,4.328098292648326,8.174505679927726,5595.04,0,74800000.0,0,0.0,0
34,106.35,3549.25,1,0,1,0,3615.8999999999996,4,3.127941084472321,3.127941084472321,1,1,0,0,1,0,0,1,1,1,0,1,1,1,4.67609452432479,8.174773302525123,11310.322499999998,0,106350000.0,0,106.35,1
11,97.85,1105.4,1,0,0,0,1076.35,3,8.895453736776933,8.895453736776933,1,0,0,0,1,0,0,1,1,0,0,1,1,1,4.593603549616626,7.008866780350549,9574.6225,0,97850000.0,0,0.0,1
10,49.55,475.7,0,0,0,0,495.5,1,4.95499950450005,4.95499950450005,0,0,1,0,0,0,0,1,0,1,1,0,0,0,3.9229629454664803,6.16688736221078,2455.2025,1,49.54995045004955,0,0.0,0
70,69.2,4872.35,0,1,0,0,4844.0,3,0.9885714144489799,0.0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,4.251348311031766,8.491536864602452,4788.64,1,34.599982700008646,0,0.0,0
17,20.75,418.25,0,0,0,1,352.75,0,1.220588163494814,1.220588163494814,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3.079613757534693,6.038467400703318,430.5625,1,20.74997925002075,0,0.0,0
63,79.85,4861.45,0,1,0,0,5030.549999999999,5,1.2674602973419,0.0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,4.392595586023115,8.489297705097483,6376.022499999999,0,39.924980037509975,0,0.0,0
13,76.2,981.45,0,0,1,0,990.6,4,5.861538010650923,5.861538010650923,1,0,0,0,1,1,1,1,1,1,0,0,1,0,4.3463994570307305,6.890049451863205,5806.4400000000005,0,76200000.0,0,76.2,0
49,84.5,3906.7,1,0,1,0,4140.5,1,1.724489760724699,1.724489760724699,0,1,0,0,1,0,0,1,1,0,0,0,0,1,4.448516375942715,8.270704244607035,7140.25,0,84500000.0,0,84.5,0
2,49.25,97.0,0,0,0,0,98.5,1,24.624987687506156,24.624987687506156,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.917010546939185,4.584967478670572,2425.5625,0,49250000.0,0,0.0,0
