number,value,activation,alpha,batch_size,learning_rate_init,n_layers,pos_ratio,width,state
0,0.7798036902422029,relu,0.021423021757741054,512,0.0024691446306928408,1,0.8575762446803585,4,COMPLETE
1,0.7807619364485661,relu,0.0011462107403425038,512,0.0004892755234081992,1,0.8173995671840616,32,COMPLETE
2,0.7812434194815472,relu,0.055517216852447225,128,0.008864653275626267,1,0.7315980725353334,32,COMPLETE
3,0.7809004089666911,tanh,3.618723330959624e-05,512,0.0018583255168292572,1,0.8088628998569474,32,COMPLETE
4,0.7797280206827194,relu,4.233032996527597e-05,256,0.001172275363492807,2,0.38879433323427365,16,COMPLETE
5,0.7824257384710205,relu,1.0656401760606457e-06,512,0.005235644275807038,2,0.2129379539739768,32,COMPLETE
6,0.7788575939370923,tanh,4.225874644996168e-05,256,0.0038745654022552963,1,0.25165510904755645,8,PRUNED
7,0.7787506621779912,relu,1.3399717231179736e-06,256,0.0004379523042465262,2,0.5822850874899973,16,PRUNED
8,0.7788774131855463,tanh,6.398916399944082e-06,512,0.007815163153444287,2,0.8331212653642472,16,PRUNED
9,0.7810935385852504,relu,1.3793542352772474e-05,256,0.0013413886520787688,1,0.5841352071909308,32,COMPLETE
10,0.7808063550123867,tanh,0.0014216111562401186,128,0.0007805312654625731,2,0.16325557970968785,4,PRUNED
11,0.7789503910383813,relu,0.08081472564575683,128,0.008269414749288826,2,0.9887080120231897,32,PRUNED
12,0.7780608294217203,relu,0.0009086950863125935,128,0.00468912346713501,1,0.542174140832296,32,PRUNED
13,0.7822025605472794,relu,0.00723802471802086,128,0.004512344912663064,2,0.4154171702359049,8,COMPLETE
14,0.7817507108033532,relu,0.00535762300359948,512,0.004397131503853485,2,0.3252199920786008,8,COMPLETE
15,0.781522500791505,relu,0.00020444372816806651,128,0.0029148667563639796,2,0.43015341094736415,8,COMPLETE
16,0.7819703572521594,relu,1.9808129251301648e-06,128,0.005803658046077885,2,0.1593408108572058,8,PRUNED
17,0.7821659409165855,relu,0.007829501612347203,512,0.002853387647287585,2,0.45049961992976073,8,COMPLETE
18,0.7826662038224681,tanh,0.00024098429810429632,512,0.005828921368619746,2,0.29498001602419077,4,PRUNED
19,0.7822031840379856,relu,0.0002989724197924868,128,0.001971629774705703,2,0.21978916879434435,8,PRUNED
20,0.7828179758081381,relu,5.269874590403093e-06,512,0.003620456329159931,2,0.35803795385145215,32,PRUNED
21,0.7821257626687471,relu,0.0070668093709128545,512,0.003133197098990774,2,0.4631947277983213,8,COMPLETE
22,0.778979582179515,relu,0.00663174824476668,512,0.006487518954665134,2,0.4951220895891472,8,PRUNED
23,0.7790855921131068,relu,0.026687760851460025,512,0.0022066518031385357,2,0.6111192276423499,8,PRUNED
24,0.7827033402215646,relu,0.002563067307089303,512,0.0015436045808070776,2,0.4065686450556017,8,PRUNED
25,0.77984333268191,relu,0.020530734929945896,128,0.004865638661741103,2,0.26881021031303304,8,PRUNED
26,0.7787681768626714,tanh,0.0004895629330986071,512,0.0009283146991924872,2,0.6944506133607857,4,PRUNED
27,0.7784472279477829,relu,7.535524020007166e-05,512,0.0029312569364162338,2,0.5102064947557564,16,PRUNED
28,0.7824141503903009,relu,0.003170965272282729,256,0.007016622875216887,2,0.3491625484706071,8,PRUNED
29,0.7789264235751343,relu,0.015065492238480568,128,0.002337172518932802,2,0.2331051870149826,4,PRUNED
30,0.7794152983703354,relu,0.012828565365802791,512,0.0035935584887012264,2,0.4546745409799909,32,PRUNED
31,0.7829116727867101,relu,0.041458066555852276,512,0.0027002756404725663,2,0.4630501826145309,8,PRUNED
32,0.7818380094468679,relu,0.007269534548859716,512,0.0032838729353891595,2,0.6530188495636342,8,PRUNED
33,0.7798212088696822,relu,0.002349901991003416,512,0.004830888379149408,2,0.5019879887736389,8,PRUNED
34,0.7792644262619484,relu,0.0006912946123312556,512,0.00913130846459217,2,0.39381369543439393,8,PRUNED
35,0.7821151481319566,relu,9.691615639398457e-05,512,0.001590263056161639,2,0.7595396121117306,32,COMPLETE
36,0.779319428517348,relu,0.009929893207708637,512,0.003959349545956735,1,0.31430303097443646,8,PRUNED
37,0.7791181632811087,tanh,0.049059872829464765,256,0.005805099023449508,2,0.5428191891829787,32,PRUNED
38,0.777846965903518,relu,0.004122811796796385,128,0.00032563991757873263,2,0.19465798177105023,16,PRUNED
39,0.779401470987693,relu,0.09948079832888758,512,0.0024840743268624834,1,0.3706207317122448,8,PRUNED
40,0.7785732107674136,tanh,0.028090089700351605,256,0.0019397569703448504,2,0.4425894574855388,32,PRUNED
41,0.7795431248409851,relu,0.00011571880608753558,512,0.0010153250203980243,2,0.762747446697656,32,PRUNED
42,0.7829027309973251,relu,1.3090746898033642e-05,512,0.0015032830116865354,2,0.9141597041026372,32,COMPLETE
43,0.7823998292030353,relu,1.6760612558511597e-05,512,0.0032894812074326925,2,0.9032881316402201,32,COMPLETE
44,0.7794607750954704,relu,1.6400107578370757e-05,512,0.009952456890187573,2,0.9128054576416121,32,PRUNED
45,0.7829698804557018,relu,3.00494001381806e-06,512,0.0008074786932126258,2,0.8928695849024049,32,COMPLETE
46,0.7828196602397955,relu,2.9859470357611393e-06,128,0.0006241411572542152,2,0.951739431221574,32,COMPLETE
47,0.7818516663605111,relu,2.5437696006621667e-06,512,0.0006195995563895943,2,0.9014670487720905,32,COMPLETE
48,0.7794810552566793,tanh,1.0397744415025185e-06,128,0.0006153997262699558,1,0.9978291102191139,32,PRUNED
49,0.7830280149332092,relu,5.029037300451513e-06,256,0.0004704683366902154,2,0.9409662874051397,32,COMPLETE
50,0.7834681920157269,relu,5.049043944409212e-06,256,0.00042423704677089943,2,0.9493305470094604,32,PRUNED
51,0.7824342435230601,relu,1.2110312481126469e-05,256,0.0006862132608898919,2,0.8556108074783371,32,COMPLETE
52,0.7821509042177928,relu,1.0637419897014111e-05,256,0.0006666142228426601,2,0.8665643823721337,32,COMPLETE
53,0.7831656938568231,relu,2.8334611763600875e-06,256,0.0005110202431417588,2,0.9581710450100573,32,COMPLETE
54,0.7821860459638749,relu,2.7934543768541507e-06,256,0.0005110257972932875,2,0.9547782733293146,32,COMPLETE
55,0.7828258083451615,relu,2.8167225910174058e-05,256,0.0007752049479886148,2,0.821202974481576,32,COMPLETE
56,0.7810917916969333,relu,2.218913200273943e-05,256,0.0008641905907486355,2,0.7969828141493731,32,PRUNED
57,0.7820384864805694,relu,7.042977350923058e-06,256,0.0005226665200357983,2,0.9552184170201354,32,COMPLETE
58,0.7798391844671172,relu,2.8961998566708375e-05,256,0.00040232315695829576,2,0.8239383356855455,32,PRUNED
59,0.7800367624013186,tanh,1.6094364355357781e-06,256,0.0010961932945032884,2,0.8707590417040036,32,PRUNED
60,0.7823623790032813,relu,3.37239676708343e-06,256,0.00035643819641108384,2,0.9180340709989359,32,COMPLETE
61,0.7810639832940636,relu,9.29420460537535e-06,256,0.0007423161930608292,2,0.8402440745599036,32,PRUNED
62,0.7827987591055575,relu,3.8213788308832275e-06,256,0.0005593344113134045,2,0.8775029556728846,32,COMPLETE
63,0.7824244870358961,relu,3.711478617081204e-06,256,0.0005563967776936864,2,0.9729304142092184,32,COMPLETE
64,0.77977050846666,relu,5.129485010600841e-05,256,0.0004588400801712508,2,0.7878286031498893,32,PRUNED
65,0.7784877882702007,relu,1.6253750138382675e-06,256,0.0008053047756721059,2,0.883238839770565,16,PRUNED
66,0.7741069661739202,relu,6.925785337561625e-06,128,0.0012710051531855291,2,0.9299505293684579,4,PRUNED
67,0.7812163917782997,relu,4.644568426183494e-06,256,0.0005846017507858763,2,0.9753326048000084,32,PRUNED
68,0.7796247063985753,relu,1.8834631696662219e-06,256,0.00030168255424304545,2,0.9362585803987249,32,PRUNED
69,0.7809980727701348,relu,8.30819365701682e-06,128,0.0003703562531324695,2,0.8910436826874194,32,PRUNED
70,0.7822419853464859,relu,2.7071782083920112e-05,256,0.0004732836344626047,2,0.8423675826496115,32,COMPLETE
71,0.7811953434291663,relu,1.3216681877824278e-05,256,0.000698843467851271,2,0.8130433448544118,32,PRUNED
72,0.7828805686920266,relu,2.5131180230272837e-06,256,0.000896399759846212,2,0.8583718500304321,32,COMPLETE
73,0.7801585970061565,relu,2.387133364760969e-06,256,0.0009548898559046601,2,0.705001623359298,32,PRUNED
74,0.780995921843946,relu,4.090023058629237e-06,256,0.0007675917465863535,2,0.9998549331065993,32,PRUNED
75,0.770658416942907,relu,1.1876101289596498e-06,256,0.0014457074739405633,2,0.8827314591536023,4,PRUNED
76,0.7790270561932541,relu,6.265856811313549e-06,128,0.000884727922197822,2,0.7764857315723099,16,PRUNED
77,0.7792879328124406,tanh,3.600257176836832e-06,256,0.0005387205744398752,2,0.9277639207814006,32,PRUNED
78,0.7829061399083238,relu,2.446222653390662e-06,256,0.0010359091028033338,2,0.965743450443054,32,COMPLETE
79,0.7828796080402733,relu,2.090737175862178e-06,128,0.0010728384092480656,2,0.9677743923716187,32,COMPLETE
80,0.7811719905162593,relu,1.4972705814046655e-06,256,0.0011518936462140213,2,0.9755982089331124,32,PRUNED
81,0.782890881147582,relu,2.3385244163645598e-06,128,0.0010311686158200593,2,0.9435570063389854,32,COMPLETE
82,0.7832363607043742,relu,1.9675607845566375e-06,128,0.0012953984207391854,2,0.8529118289344855,32,COMPLETE
83,0.7832251642759764,relu,1.0381351502390199e-06,128,0.0012508915227949062,2,0.9088384464270268,32,COMPLETE
84,0.7832287449128748,relu,1.0241644124191066e-06,128,0.0017227508438570163,2,0.9094782793518866,32,COMPLETE
85,0.7824604353576807,relu,1.1209351729788408e-06,128,0.0017200079653196653,2,0.9190242490058859,32,COMPLETE
86,0.7831858186957625,relu,1.4473773640687799e-06,128,0.0012476043315969192,2,0.8987355974315537,32,COMPLETE
87,0.7828087125536201,relu,1.3663919663585163e-06,128,0.0012765707838872924,2,0.9001423269036363,32,COMPLETE
88,0.7711164105835402,relu,1.824648436543987e-06,128,0.0013785963426268962,2,0.8529224624983013,4,PRUNED
89,0.7794219047864869,tanh,5.336209480981761e-06,128,0.0017567258959938373,2,0.9123032761223954,16,PRUNED
90,0.7832016002412255,relu,1.1053818527961225e-06,128,0.0015949650186160163,2,0.9359676753600821,32,COMPLETE
91,0.7839404247807831,relu,1.0755212078472763e-06,128,0.0020905594326783494,2,0.9353697766615703,32,COMPLETE
92,0.782857832841904,relu,1.023553825361867e-06,128,0.002113052300716049,2,0.9808281621191218,32,COMPLETE
93,0.781063368743724,relu,1.5010426110695617e-06,128,0.0011882268667616149,2,0.9380175181365408,32,PRUNED
94,0.7825904480282764,relu,1.3106074952575668e-06,128,0.001864259522374869,2,0.8954814291704924,32,COMPLETE
95,0.7840953507897842,relu,2.0317606097206365e-06,128,0.001688371824399727,2,0.9499071707539039,32,COMPLETE
96,0.7828509387346994,relu,1.0088140056200892e-06,128,0.00204984963267542,2,0.8337749191221061,32,COMPLETE
97,0.781383088557933,relu,3.040587991487688e-06,128,0.002385170549816433,2,0.8699715612794936,32,PRUNED
98,0.7816506484120636,relu,1.8583237352028876e-06,128,0.0015667330107273821,2,0.9307229286901266,32,PRUNED
99,0.7824168962979725,relu,1.8438614516112118e-06,128,0.0017772980999714934,2,0.9518872138137106,32,COMPLETE
