band_size,band_fraction,precision,positives_in_band,recall,threshold,feasible,binding
5,0.00015174506828528073,0.8,4,0.0010775862068965517,0.9454192938717594,False,support
10,0.00030349013657056146,0.7,7,0.0018857758620689656,0.9453949840170575,False,support
13,0.0003945371775417299,0.6923076923076923,9,0.0024245689655172415,0.9453550704666276,False,support
19,0.0005766312594840668,0.631578947368421,12,0.003232758620689655,0.9442715021509128,False,support
30,0.0009104704097116844,0.5666666666666667,17,0.0045797413793103444,0.9442167673325716,False,support
31,0.0009408194233687405,0.5483870967741935,17,0.0045797413793103444,0.9417227764205455,False,support
33,0.0010015174506828527,0.5454545454545454,18,0.004849137931034483,0.9409257103973484,False,support
46,0.0013960546282245827,0.5217391304347826,24,0.00646551724137931,0.9403713616751287,False,support
56,0.0016995447647951442,0.5535714285714286,31,0.008351293103448275,0.9391843556777151,False,support
59,0.0017905918057663126,0.559322033898305,33,0.008890086206896552,0.9390545877659298,False,support
61,0.0018512898330804248,0.5573770491803278,34,0.009159482758620689,0.9390422819061186,False,support
81,0.002458270106221548,0.5679012345679012,46,0.012392241379310345,0.9385679744513483,True,
82,0.002488619119878604,0.573170731707317,47,0.012661637931034482,0.9380500212122328,True,
83,0.0025189681335356603,0.5783132530120482,48,0.01293103448275862,0.9365174781376772,True,
85,0.0025796661608497723,0.5882352941176471,50,0.013469827586206896,0.9359722648482368,True,
99,0.0030045523520485585,0.6060606060606061,60,0.016163793103448277,0.9358168772110712,True,
116,0.003520485584218513,0.6120689655172413,71,0.01912715517241379,0.9357992469176396,True,
128,0.0038846737481031865,0.6171875,79,0.021282327586206896,0.9355093389640513,True,
133,0.004036418816388467,0.6090225563909775,81,0.021821120689655173,0.9351511470546162,True,
149,0.004522003034901366,0.610738255033557,91,0.02451508620689655,0.9348327268216704,True,
157,0.004764795144157815,0.6242038216560509,98,0.026400862068965518,0.9348282639845362,True,
159,0.004825493171471927,0.6289308176100629,100,0.02693965517241379,0.9348099456786643,True,
163,0.004946889226100152,0.6196319018404908,101,0.02720905172413793,0.9347672089027362,True,
164,0.004977238239757208,0.6158536585365854,101,0.02720905172413793,0.9346191759059532,True,
171,0.005189681335356601,0.6023391812865497,103,0.02774784482758621,0.9344985937328902,True,
177,0.005371775417298938,0.6101694915254238,108,0.029094827586206896,0.9344170515812698,True,
179,0.00543247344461305,0.6089385474860335,109,0.029364224137931036,0.9339763135147457,True,
190,0.005766312594840668,0.6210526315789474,118,0.03178879310344827,0.9334893049173179,True,
