band_size,band_fraction,precision,positives_in_band,recall,threshold,feasible,binding
6,0.00029610620342496174,0.16666666666666666,1,0.00026939655172413793,0.9214087403179024,False,"support,precision"
9,0.0004441593051374426,0.3333333333333333,3,0.0008081896551724138,0.9203232231714986,False,support
16,0.0007896165424665647,0.5625,9,0.0024245689655172415,0.9185856976673683,False,support
31,0.001529882051028969,0.4838709677419355,15,0.004040948275862069,0.9183905299170134,False,support
32,0.0015792330849331293,0.5,16,0.004310344827586207,0.9166444201897317,False,support
39,0.0019246903222622513,0.5641025641025641,22,0.005926724137931034,0.916175852869436,False,support
54,0.0026649558308246557,0.5925925925925926,32,0.008620689655172414,0.916011014086521,False,support
55,0.002714306864728816,0.5818181818181818,32,0.008620689655172414,0.9156017831107975,False,support
57,0.0028130089325371366,0.5964912280701754,34,0.009159482758620689,0.9155617450939953,False,support
58,0.002862359966441297,0.603448275862069,35,0.009428879310344827,0.9148724867466248,False,support
64,0.0031584661698662586,0.609375,39,0.01050646551724138,0.9146338891968017,False,support
65,0.003207817203770419,0.6,39,0.01050646551724138,0.9145774969087018,False,support
66,0.003257168237674579,0.5909090909090909,39,0.01050646551724138,0.9140906129777108,False,support
77,0.0038000296106203424,0.5844155844155844,45,0.012122844827586207,0.9137853930982239,True,
85,0.004194837881853625,0.611764705882353,52,0.014008620689655173,0.9135488924297661,True,
87,0.004293539949661945,0.5977011494252874,52,0.014008620689655173,0.9132433312017455,True,
92,0.004540295119182747,0.5978260869565217,55,0.014816810344827586,0.9127375498679836,True,
106,0.005231209593840991,0.5943396226415094,63,0.01697198275862069,0.9116094151612566,True,
111,0.005477964763361792,0.5765765765765766,64,0.017241379310344827,0.9102041744678387,True,
112,0.005527315797265953,0.5803571428571429,65,0.017510775862068964,0.910101114283087,True,
114,0.005626017865074273,0.5877192982456141,67,0.01804956896551724,0.9091566942667284,True,
115,0.0056753688989784334,0.5826086956521739,67,0.01804956896551724,0.908078327047731,True,
130,0.006415634407540838,0.5923076923076923,77,0.020743534482758622,0.9077230271827003,True,
133,0.006563687509253319,0.5939849624060151,79,0.021282327586206896,0.9076663218293323,True,
134,0.006613038543157479,0.5970149253731343,80,0.021551724137931036,0.9070802792034797,True,
138,0.00681044267877412,0.6014492753623188,83,0.02235991379310345,0.9065325885634231,True,
148,0.007303953017815723,0.6148648648648649,91,0.02451508620689655,0.9063775763715498,True,
153,0.0075507081873365245,0.6078431372549019,93,0.025053879310344827,0.9059141672292048,True,
161,0.007945516458569807,0.6273291925465838,101,0.02720905172413793,0.905768448923913,True,
163,0.008044218526378127,0.6196319018404908,101,0.02720905172413793,0.9054319984188371,True,
167,0.008241622661994769,0.6167664670658682,103,0.02774784482758621,0.905397688064107,True,
170,0.00838967576370725,0.611764705882353,104,0.028017241379310345,0.9051823669097577,True,
171,0.00843902679761141,0.6140350877192983,105,0.028286637931034482,0.9044536709544947,True,
173,0.00853772886541973,0.6127167630057804,106,0.028556034482758622,0.9042749745100103,True,
190,0.009376696441790455,0.6210526315789474,118,0.03178879310344827,0.9016606645450915,True,
201,0.009919557814736218,0.6169154228855721,124,0.0334051724137931,0.9011920116753017,True,
207,0.01021566401816118,0.6183574879227053,128,0.034482758620689655,0.9007224427853198,True,
209,0.0103143660859695,0.6220095693779905,130,0.03502155172413793,0.9002867239707951,True,
210,0.010363717119873661,0.6190476190476191,130,0.03502155172413793,0.8992570428362936,True,
228,0.011252035730148546,0.6359649122807017,145,0.0390625,0.8988587425439174,True,
230,0.011350737797956867,0.6391304347826087,147,0.03960129310344827,0.898653505012062,True,
234,0.011548141933573508,0.6367521367521367,149,0.040140086206896554,0.8982617429608655,True,
235,0.011597492967477668,0.6382978723404256,150,0.04040948275862069,0.8978598736542398,True,
237,0.011696195035285989,0.6413502109704642,152,0.040948275862068964,0.8978513130044425,True,
240,0.01184424813699847,0.6458333333333334,155,0.04175646551724138,0.897523858766661,True,
247,0.012189705374327592,0.6437246963562753,159,0.04283405172413793,0.8973421643962008,True,
264,0.013028672950698317,0.6401515151515151,169,0.04552801724137931,0.8972875345109764,True,
279,0.013768938459260721,0.6451612903225806,180,0.04849137931034483,0.8970932755177027,True,
286,0.014114395696589843,0.6433566433566433,184,0.04956896551724138,0.8970622040475106,True,
301,0.014854661205152248,0.6445182724252492,194,0.052262931034482756,0.8968664608411023,True,
305,0.015052065340768889,0.6459016393442623,197,0.05307112068965517,0.8967052356190787,True,
308,0.01520011844248137,0.6461038961038961,199,0.053609913793103446,0.8964739100382458,True,
309,0.01524946947638553,0.6472491909385113,200,0.05387931034482758,0.896142145060424,True,
311,0.01534817154419385,0.6495176848874598,202,0.05441810344827586,0.8958192734034026,True,
314,0.015496224645906331,0.6496815286624203,204,0.05495689655172414,0.8955182961911294,True,
321,0.015841681883235453,0.6448598130841121,207,0.055765086206896554,0.8953405286811477,True,
326,0.016088437052756255,0.6441717791411042,210,0.056573275862068964,0.8947580284570108,True,
330,0.016285841188372896,0.6424242424242425,212,0.057112068965517244,0.8935201433433676,True,
332,0.016384543256181217,0.6445783132530121,214,0.05765086206896552,0.8933696517026776,True,
333,0.016433894290085377,0.6426426426426426,214,0.05765086206896552,0.8931703646271096,True,
337,0.016631298425702018,0.6379821958456974,215,0.057920258620689655,0.8927702296108534,True,
338,0.01668064945960618,0.6390532544378699,216,0.05818965517241379,0.8923309196281719,True,
348,0.01717415979864778,0.6379310344827587,222,0.05980603448275862,0.8921855897559395,True,
351,0.017322212900360262,0.6381766381766382,224,0.0603448275862069,0.8916874259402168,True,
353,0.017420914968168583,0.6402266288951841,226,0.06088362068965517,0.8916746768067972,True,
354,0.017470266002072743,0.6384180790960452,226,0.06088362068965517,0.8913767247171577,True,
355,0.017519617035976903,0.6394366197183099,227,0.06115301724137931,0.8898569097714961,True,
357,0.017618319103785224,0.6414565826330533,229,0.06169181034482758,0.8898189896159904,True,
358,0.017667670137689384,0.6396648044692738,229,0.06169181034482758,0.8895668771308842,True,
362,0.017865074273306025,0.638121546961326,231,0.06223060344827586,0.8895072733603381,True,
367,0.018111829442826827,0.6403269754768393,235,0.06330818965517242,0.8894282532974668,True,
371,0.018309233578443468,0.6415094339622641,238,0.06411637931034483,0.8884979567636136,True,
372,0.018358584612347628,0.6397849462365591,238,0.06411637931034483,0.88842670877613,True,
381,0.01880274391748507,0.6351706036745407,242,0.06519396551724138,0.8884117215224816,True,
382,0.01885209495138923,0.6361256544502618,243,0.06546336206896551,0.888369640137393,True,
385,0.019000148053101712,0.6363636363636364,245,0.0660021551724138,0.8881268600069797,True,
387,0.019098850120910033,0.6356589147286822,246,0.06627155172413793,0.8879164425305583,True,
391,0.019296254256526674,0.6368286445012787,249,0.06707974137931035,0.8878708318997217,True,
394,0.019444307358239155,0.6395939086294417,252,0.06788793103448276,0.8876823525084522,True,
396,0.019543009426047475,0.6388888888888888,253,0.06815732758620689,0.8873919183031139,True,
398,0.019641711493855796,0.635678391959799,253,0.06815732758620689,0.8872690106025617,True,
399,0.019691062527759956,0.6340852130325815,253,0.06815732758620689,0.8872042082567495,True,
409,0.02018457286680156,0.6308068459657702,258,0.06950431034482758,0.8869790812355977,True,
412,0.02033262596851404,0.6286407766990292,259,0.06977370689655173,0.886541898318245,True,
426,0.021023540443172284,0.6314553990610329,269,0.07246767241379311,0.8863393043751362,True,
428,0.021122242510980604,0.6308411214953271,270,0.07273706896551724,0.8862740564881827,True,
430,0.021220944578788925,0.627906976744186,270,0.07273706896551724,0.8861053747623158,True,
431,0.021270295612693085,0.6264501160092807,270,0.07273706896551724,0.8860325167560658,True,
445,0.02196121008735133,0.6314606741573033,281,0.07570043103448276,0.8856015109048859,True,
446,0.02201056112125549,0.6300448430493274,281,0.07570043103448276,0.8851938951641416,True,
450,0.02220796525687213,0.6333333333333333,285,0.07677801724137931,0.8848156467161299,True,
452,0.02230666732468045,0.6305309734513275,285,0.07677801724137931,0.8841186839764018,True,
457,0.022553422494201253,0.6301969365426696,288,0.07758620689655173,0.8839465081487723,True,
495,0.024428761782559344,0.6161616161616161,305,0.08216594827586207,0.8832083769489589,True,
496,0.024478112816463504,0.6169354838709677,306,0.0824353448275862,0.8831939551482689,True,
511,0.02521837832502591,0.6183953033268101,316,0.08512931034482758,0.8827653397130337,True,
515,0.02541578246064255,0.6213592233009708,320,0.08620689655172414,0.8824626464240616,True,
516,0.02546513349454671,0.622093023255814,321,0.08647629310344827,0.8819255940134567,True,
542,0.026748260376054878,0.6162361623616236,334,0.08997844827586207,0.8809680185309953,True,
554,0.0273404727829048,0.6209386281588448,344,0.09267241379310345,0.8807306705999594,True,
557,0.027488525884617282,0.6229802513464991,347,0.09348060344827586,0.880701634142541,True,
561,0.027685930020233923,0.6203208556149733,348,0.09375,0.8803060897123067,True,
566,0.027932685189754725,0.6183745583038869,350,0.09428879310344827,0.880205172169264,True,
592,0.029215812071262892,0.6165540540540541,365,0.09832974137931035,0.8797794116177063,True,
594,0.029314514139071213,0.6144781144781145,365,0.09832974137931035,0.8789290059595791,True,
596,0.029413216206879533,0.6140939597315436,366,0.09859913793103449,0.8788723076464022,True,
598,0.029511918274687854,0.6137123745819398,367,0.09886853448275862,0.8785660201284348,True,
609,0.030054779647633617,0.6124794745484401,373,0.10048491379310345,0.8784222905739886,True,
610,0.030104130681537777,0.6131147540983607,374,0.10075431034482758,0.8782062106552644,True,
611,0.030153481715441938,0.613747954173486,375,0.10102370689655173,0.8782050233969193,True,
613,0.030252183783250258,0.6133768352365416,376,0.10129310344827586,0.8774165052397925,True,
621,0.03064699205448354,0.6167471819645732,383,0.10317887931034483,0.8770619597984735,True,
656,0.03237427824112915,0.614329268292683,403,0.10856681034482758,0.8768014347522853,True,
657,0.03242362927503331,0.6149162861491628,404,0.10883620689655173,0.8763750163092106,True,
661,0.03262103341064995,0.6157337367624811,407,0.10964439655172414,0.8759540354098686,True,
673,0.033213245817499876,0.6106983655274889,411,0.11072198275862069,0.8754209768837121,True,
676,0.03336129891921236,0.6094674556213018,412,0.11099137931034483,0.8751126858383009,True,
686,0.03385480925825396,0.60932944606414,418,0.11260775862068965,0.8750813573788924,True,
687,0.03390416029215812,0.6098981077147017,419,0.1128771551724138,0.873503543871017,True,
688,0.03395351132606228,0.6090116279069767,419,0.1128771551724138,0.8733828974580835,True,
690,0.0340522133938706,0.6086956521739131,420,0.11314655172413793,0.8724146862238901,True,
693,0.03420026649558308,0.6075036075036075,421,0.11341594827586207,0.8722480710207465,True,
695,0.0342989685633914,0.6057553956834533,421,0.11341594827586207,0.8721802786455968,True,
707,0.034891180970241326,0.6082036775106082,430,0.11584051724137931,0.8719346502818254,True,
714,0.03523663820757045,0.6064425770308123,433,0.11664870689655173,0.8716135793516319,True,
718,0.03543404234318709,0.6058495821727019,435,0.1171875,0.8715690647421074,True,
746,0.03681587129250358,0.6099195710455764,455,0.12257543103448276,0.8714264868862455,True,
747,0.03686522232640774,0.6091030789825971,455,0.12257543103448276,0.8713351718222468,True,
750,0.03701327542812022,0.608,456,0.12284482758620689,0.870902566752329,True,
751,0.03706262646202438,0.6085219707057257,457,0.12311422413793104,0.8707917420582215,True,
759,0.03745743473325766,0.6086956521739131,462,0.12446120689655173,0.8707427087265088,True,
791,0.03903666781819079,0.6055625790139064,479,0.12904094827586207,0.8697520461124297,True,
796,0.03928342298771159,0.6080402010050251,484,0.13038793103448276,0.8695705504673915,True,
831,0.0410107091743572,0.6101083032490975,507,0.13658405172413793,0.8692128711382261,True,
833,0.04110941124216552,0.60984393757503,508,0.13685344827586207,0.8684381957365309,True,
840,0.041454868479494644,0.6095238095238096,512,0.13793103448275862,0.8681900627476178,True,
841,0.041504219513398805,0.6087990487514863,512,0.13793103448275862,0.867943032024221,True,
871,0.04298475053052361,0.6096440872560276,531,0.14304956896551724,0.8671938730875426,True,
