band_size,coverage,npv,subscribers_routed,leakage_rate,threshold,feasible,binding
51,0.0015477996965098633,0.9411764705882353,3,0.0008081896551724138,0.16142261129990224,False,"support,npv"
92,0.0027921092564491654,0.9347826086956522,6,0.0016163793103448276,0.16393374360583127,False,"support,npv"
137,0.004157814871016692,0.9416058394160584,8,0.0021551724137931034,0.16753324543014514,False,npv
189,0.005735963581183612,0.9523809523809523,9,0.0024245689655172415,0.1687015695026562,True,
201,0.0061001517450682856,0.9502487562189055,10,0.0026939655172413795,0.16914752459133545,True,
211,0.006403641881638847,0.943127962085308,12,0.003232758620689655,0.17444074813825491,False,npv
263,0.007981790591805767,0.9543726235741445,12,0.003232758620689655,0.1767791684965078,True,
283,0.00858877086494689,0.9540636042402827,13,0.003502155172413793,0.17904824239139938,True,
342,0.010379362670713202,0.9590643274853801,14,0.003771551724137931,0.1790962821992217,True,
522,0.01584218512898331,0.9540229885057471,24,0.00646551724137931,0.17967991924506257,True,
559,0.016965098634294386,0.9516994633273703,27,0.007273706896551724,0.18162876034161915,True,
570,0.017298937784522003,0.9526315789473684,27,0.007273706896551724,0.18200648696155483,True,
618,0.018755690440060698,0.9546925566343042,28,0.007543103448275862,0.18245328825024612,True,
798,0.024218512898330803,0.9536340852130326,37,0.009967672413793104,0.18292128170368097,True,
864,0.026221547799696508,0.9571759259259259,37,0.009967672413793104,0.18295206069342884,True,
890,0.027010622154779968,0.9550561797752809,40,0.010775862068965518,0.18350924740642124,True,
903,0.0274051593323217,0.955703211517165,40,0.010775862068965518,0.18375096664407004,True,
956,0.029013657056145677,0.9581589958158996,40,0.010775862068965518,0.184486947807753,True,
1135,0.034446130500758725,0.958590308370044,47,0.012661637931034482,0.18528236390960712,True,
1152,0.03496206373292868,0.9592013888888888,47,0.012661637931034482,0.1860605458506303,True,
1164,0.035326251896813356,0.9596219931271478,47,0.012661637931034482,0.18621175901009845,True,
1181,0.03584218512898331,0.9602032176121931,47,0.012661637931034482,0.18790007863414865,True,
1356,0.041153262518968135,0.9609144542772862,53,0.014278017241379311,0.1889850111687881,True,
1515,0.04597875569044006,0.9617161716171617,58,0.015625,0.1919886648205729,True,
1683,0.05107738998482549,0.9625668449197861,63,0.01697198275862069,0.1923053938444428,True,
1851,0.05617602427921092,0.9632631010264722,68,0.018318965517241378,0.19343844970012267,True,
1901,0.057693474962063736,0.96422935297212,68,0.018318965517241378,0.19390229601771392,True,
1983,0.06018209408194234,0.9631870902672718,73,0.01966594827586207,0.19451977565647866,True,
2079,0.06309559939301973,0.9615199615199616,80,0.021551724137931036,0.1945962659988359,True,
2164,0.0656752655538695,0.960720887245841,85,0.022898706896551723,0.19677830837582588,True,
2190,0.06646433990895297,0.960730593607306,86,0.023168103448275863,0.19809036394019663,True,
2431,0.07377845220030349,0.960510078157137,96,0.02586206896551724,0.1987571665497932,True,
2681,0.08136570561456753,0.9604625139873182,106,0.028556034482758622,0.199649674710108,True,
2701,0.08197268588770865,0.960755275823769,106,0.028556034482758622,0.20057664274858467,True,
2730,0.08285280728376328,0.9608058608058608,107,0.02882543103448276,0.20150955712418867,True,
2921,0.088649468892261,0.9626840123245464,109,0.029364224137931036,0.20173102195695522,True,
3091,0.09380880121396054,0.9644128113879004,110,0.029633620689655173,0.20244210336909182,True,
3343,0.10145675265553869,0.9644032306311696,119,0.03205818965517242,0.20248792980487157,True,
3362,0.10203338391502276,0.9646044021415824,119,0.03205818965517242,0.20330943520416528,True,
3404,0.10330804248861912,0.9647473560517039,120,0.032327586206896554,0.20399298626751855,True,
3642,0.11053110773899848,0.9648544755628775,128,0.034482758620689655,0.20410559008470036,True,
3894,0.11817905918057663,0.9650744735490498,136,0.036637931034482756,0.2043591507387293,True,
4153,0.12603945371775419,0.9643631110040934,148,0.03987068965517242,0.204410079304537,True,
4252,0.12904400606980274,0.9642521166509878,152,0.040948275862068964,0.20463514715039563,True,
4445,0.13490136570561456,0.9655793025871766,153,0.0412176724137931,0.20652733591860703,True,
4537,0.13769347496206374,0.9658364558078025,155,0.04175646551724138,0.20697334233861786,True,
4790,0.14537177541729893,0.9665970772442589,160,0.04310344827586207,0.20743871279437087,True,
5029,0.15262518968133534,0.966593756213959,168,0.04525862068965517,0.20745704644142038,True,
5116,0.15526555386949925,0.9667709147771697,170,0.045797413793103446,0.20836762585515814,True,
5138,0.15593323216995447,0.9669131957960296,170,0.045797413793103446,0.2100696626943583,True,
5175,0.15705614567526555,0.9671497584541063,170,0.045797413793103446,0.2113351320557957,True,
5257,0.15954476479514415,0.9674719421723417,171,0.04606681034482758,0.21157209198448843,True,
5525,0.1676783004552352,0.9679638009049774,177,0.04768318965517242,0.211748173345247,True,
5551,0.16846737481031868,0.968113853359755,177,0.04768318965517242,0.21176300910283408,True,
5653,0.17156297420333838,0.9681584999115513,180,0.04849137931034483,0.2126308501292377,True,
5678,0.17232169954476478,0.9682986967241987,180,0.04849137931034483,0.2131422191891487,True,
5705,0.1731411229135053,0.9684487291849255,180,0.04849137931034483,0.21490055086084886,True,
5795,0.17587253414264037,0.9687661777394305,181,0.048760775862068964,0.21520276477050468,True,
6078,0.18446130500758726,0.9695623560381704,185,0.04983836206896552,0.21591066469460157,True,
6175,0.18740515933232169,0.9700404858299595,185,0.04983836206896552,0.2542160589057527,True,
6179,0.18752655538694993,0.9698980417543291,186,0.050107758620689655,0.25441869047686116,True,
6195,0.1880121396054628,0.9698143664245359,187,0.05037715517241379,0.2552314437478685,True,
6229,0.18904400606980273,0.9698185904639589,188,0.05064655172413793,0.2564980801023381,True,
6235,0.18922610015174507,0.9696872493985565,189,0.05091594827586207,0.25670491803753503,True,
6255,0.1898330804248862,0.9697841726618706,189,0.05091594827586207,0.25750916112502403,True,
6276,0.19047040971168436,0.9697259400892289,190,0.05118534482758621,0.2575400135870921,True,
6317,0.19171471927162367,0.969922431533956,190,0.05118534482758621,0.25769813685825227,True,
6334,0.19223065250379362,0.9696874013261761,192,0.05172413793103448,0.2592463612664459,True,
6346,0.1925948406676783,0.9695871415064607,193,0.05199353448275862,0.25969012550789433,True,
6363,0.19311077389984826,0.9691969196919692,196,0.052801724137931036,0.26012259741732974,True,
6374,0.19344461305007588,0.9690931910887982,197,0.05307112068965517,0.2614155810431582,True,
6383,0.19371775417298936,0.9688234372552091,199,0.053609913793103446,0.26228663878167363,True,
6399,0.19420333839150228,0.9689013908423191,199,0.053609913793103446,0.26305157395430184,True,
6434,0.19526555386949923,0.9690705626359962,199,0.053609913793103446,0.26306741467614575,True,
6436,0.19532625189681335,0.9690801740211311,199,0.053609913793103446,0.26329807860886034,True,
6452,0.19581183611532627,0.9691568505889646,199,0.053609913793103446,0.26394302439163275,True,
6454,0.19587253414264036,0.9691664084288814,199,0.053609913793103446,0.26412341771452963,True,
6476,0.1965402124430956,0.9688079061148858,202,0.05441810344827586,0.26470930483827754,True,
6482,0.19672230652503794,0.9688367787719839,202,0.05441810344827586,0.26475498853699425,True,
6529,0.19814871016691957,0.9686016235258079,205,0.05522629310344827,0.2662796157845953,True,
6536,0.19836115326251896,0.9684822521419829,206,0.05549568965517242,0.2664042594376328,True,
6554,0.19890743550834597,0.9685688129386634,206,0.05549568965517242,0.26643207051969325,True,
6591,0.20003034901365704,0.9684418145956607,208,0.05603448275862069,0.2665867987211452,True,
6602,0.20036418816388468,0.9683429263859437,209,0.05630387931034483,0.2672298692474882,True,
6609,0.20057663125948408,0.9683764563474051,209,0.05630387931034483,0.2676086931066173,True,
6610,0.2006069802731411,0.9683812405446294,209,0.05630387931034483,0.2678600393005749,True,
6626,0.20109256449165402,0.9684575913069725,209,0.05630387931034483,0.2684860348244114,True,
6662,0.20218512898330804,0.9683278294806364,211,0.0568426724137931,0.26874540061721425,True,
6678,0.20267071320182095,0.9682539682539683,212,0.057112068965517244,0.2691100490734397,True,
6697,0.20324734446130502,0.9683440346423772,212,0.057112068965517244,0.26924084956595384,True,
6731,0.2042792109256449,0.9683553706730055,213,0.05738146551724138,0.2694294059878762,True,
6761,0.2051896813353566,0.9683478775329093,214,0.05765086206896552,0.26946279639092985,True,
6783,0.20585735963581184,0.9681556833259619,216,0.05818965517241379,0.26956756342143157,True,
6791,0.2061001517450683,0.9681931968782211,216,0.05818965517241379,0.26962490307186815,True,
6792,0.20613050075872535,0.9681978798586572,216,0.05818965517241379,0.26976806643419526,True,
