feature,type,cohens_d,ks_stat,ks_pvalue,point_biserial,mutual_info,auc_probe,cramers_v,target_rate_range,n_categories,composite_score
nr.employed,numeric,-1.19976931971735,0.432419458775045,0.0,-0.35467829592143685,0.061688557803048494,0.7489968081653602,,,,0.39479476146158554
euribor3m,numeric,-1.02307374703634,0.43263497601642437,0.0,-0.3077714039407211,0.055005172375432176,0.7434777464354858,,,,0.36365088715111316
emp.var.rate,numeric,-0.9885857857660123,0.432419458775045,0.0,-0.2983344261593781,0.05337972481974025,0.7167529981828337,,,,0.34711268769291065
previous,categorical,,,,,0.019268877762732103,0.6092886026359289,0.23627912023192696,"(np.float64(0.0), np.float64(0.7222222222222222))",8.0,0.29658622979748417
month,categorical,,,,,0.026406581004977787,0.5238688588082561,0.2743948709306683,"(np.float64(0.06434744716391895), np.float64(0.5054945054945055))",10.0,0.19368696982354
cons.price.idx,numeric,-0.4348594423485808,0.2280895836556932,9.808385147755363e-189,-0.13621121281924883,0.031483432257674096,0.610561904538387,,,,0.1696550636628633
contact,categorical,,,,,0.011645721145540237,0.6102388380136844,0.14469331461054977,"(np.float64(0.05231321457059293), np.float64(0.14737607099143207))",2.0,0.11925876780075109
cons.conf.idx,numeric,0.17382896910461704,0.1998482628418744,1.3572922299767373e-144,0.054877946053195584,0.03277871068981896,0.53730599143592,,,,0.09270847193563085
default,categorical,,,,,0.00577430676511924,0.563777739264944,0.09935422186499668,"(np.float64(0.0), np.float64(0.12878973855406897))",3.0,0.09023885986828548
education,categorical,,,,,0.0023896903228810638,0.5406633411706099,0.06847190717366518,"(np.float64(0.0782464846980976), np.float64(0.2222222222222222))",8.0,0.07373088129125913
campaign,numeric,-0.21033768816299525,0.08083009872704006,7.605310819317814e-24,-0.06635741475467091,0.0026107607406683844,0.5552093485704204,,,,0.07330831725551185
marital,categorical,,,,,0.0014338512748518551,0.537583593422726,0.05457045126504373,"(np.float64(0.10157252888318356), np.float64(0.15))",4.0,0.04479985357227817
age,numeric,0.09618926372791006,0.08608700226060761,5.3972448310459305e-27,0.03039880304000372,0.0063406840497712835,0.4891762173645994,,,,0.03907513517396328
job,numeric,0.07948105075012817,0.06835139806697288,3.614547051400914e-17,0.025122169918406823,0.007515854051463135,0.5103604512299367,,,,0.032955616237681645
day_of_week,categorical,,,,,0.00032199848153421917,0.5089984374587222,0.025194657858251365,"(np.float64(0.09948320413436693), np.float64(0.12118752174417256))",5.0,0.01627397982273844
housing,categorical,,,,,6.90830137016589e-05,0.5093136317190807,0.01174791039026865,"(np.float64(0.10808080808080808), np.float64(0.11619391916944753))",3.0,0.009637791746508601
loan,categorical,,,,,1.3380897777300754e-05,0.5020062952168711,0.0051538144342840216,"(np.float64(0.10808080808080808), np.float64(0.1134020618556701))",3.0,0.003624959615233168
